[2016-03-19 17:07:15-0.15801700 1458403635,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:21:58-0.63054800 1458404518,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:21:58-0.67355100 1458404518,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 17:21:58-0.68255100 1458404518,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 3 ms
[2016-03-19 17:21:58-0.69555200 1458404518,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:02-0.54377200 1458404522,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:02-0.55677300 1458404522,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:19-0.52674400 1458404539,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:19-0.53574400 1458404539,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:23-0.39996500 1458404543,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:23-0.40596500 1458404543,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:26-0.03311600 1458404546,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:26-0.04511600 1458404546,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:29-0.67132400 1458404549,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:29-0.68232400 1458404549,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:22:50-0.77153100 1458404570,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:22:50-0.81853300 1458404570,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:25:14-0.21473500 1458404714,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:25:14-0.22273600 1458404714,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:25:14-0.48875100 1458404714,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:25:14-0.49675100 1458404714,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:36:19-0.59679300 1458405379,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
